,用户编号,总缴费次数,总缴费金额（元）,平均缴费次数(年),平均缴费金额（元）,用户类型,预测用户类型,高价值用户概率
0,1000000001,8,987,7.920792079207921,977.2277227722773,高价值用户,高价值用户,1.0
1,1000000002,7,490,6.930693069306932,485.1485148514851,大众型用户,高价值用户,0.9999999999465439
2,1000000003,7,1180,6.930693069306932,1168.3168316831684,高价值用户,高价值用户,1.0
3,1000000004,8,621,8.0,621.0,大众型用户,高价值用户,0.9999999999994214
4,1000000005,7,1500,6.930693069306932,1485.148514851485,高价值用户,高价值用户,1.0
5,1000000006,7,1010,6.930693069306932,1000.0,高价值用户,高价值用户,1.0
6,1000000007,7,1106,6.930693069306932,1095.049504950495,高价值用户,高价值用户,1.0
7,1000000008,7,1074,6.930693069306932,1063.3663366336634,高价值用户,高价值用户,1.0
8,1000000009,7,970,6.930693069306932,960.3960396039604,高价值用户,高价值用户,1.0
9,1000000010,8,773,7.920792079207921,765.3465346534654,高价值用户,高价值用户,0.9999999999999996
10,1000000011,7,748,7.0,748.0,高价值用户,高价值用户,0.999999999999992
11,1000000012,7,911,7.0,911.0,高价值用户,高价值用户,1.0
12,1000000013,7,835,7.0,835.0,高价值用户,高价值用户,0.9999999999999998
13,1000000014,7,749,7.0,749.0,高价值用户,高价值用户,0.9999999999999925
14,1000000015,7,700,7.0,700.0,大众型用户,高价值用户,0.9999999999999516
15,1000000016,8,784,8.0,784.0,高价值用户,高价值用户,0.9999999999999987
16,1000000017,7,780,7.0,780.0,高价值用户,高价值用户,0.9999999999999976
17,1000000018,7,641,7.0,641.0,大众型用户,高价值用户,0.999999999999549
18,1000000019,6,729,6.0,729.0,潜力型用户,高价值用户,0.9999999999999731
19,1000000020,7,899,6.930693069306932,890.09900990099,高价值用户,高价值用户,1.0
20,1000000021,7,757,6.930693069306932,749.5049504950495,高价值用户,高价值用户,0.9999999999999987
21,1000000022,6,534,5.9405940594059405,528.7128712871287,低价值用户,高价值用户,0.9999999999846301
22,1000000023,5,493,4.950495049504951,488.1188118811882,低价值用户,高价值用户,0.9999999998701288
23,1000000024,7,904,6.930693069306932,895.049504950495,高价值用户,高价值用户,1.0
24,1000000025,7,651,6.930693069306932,644.5544554455447,大众型用户,高价值用户,0.9999999999999114
25,1000000026,7,777,6.930693069306932,769.3069306930693,高价值用户,高价值用户,0.9999999999999993
26,1000000027,7,631,6.930693069306932,624.7524752475247,大众型用户,高价值用户,0.9999999999998037
27,1000000028,6,571,6.0,571.0,低价值用户,高价值用户,0.99999999998945
28,1000000029,7,691,6.930693069306932,684.1584158415842,大众型用户,高价值用户,0.9999999999999818
29,1000000030,7,671,6.930693069306932,664.3564356435644,大众型用户,高价值用户,0.99999999999996
30,1000000031,7,655,6.930693069306932,648.5148514851485,大众型用户,高价值用户,0.9999999999999243
31,1000000032,6,519,7.0588235294117645,610.5882352941177,大众型用户,高价值用户,0.9889510582334596
32,1000000033,6,545,5.9405940594059405,539.6039603960396,低价值用户,高价值用户,0.9999999999900746
33,1000000034,7,721,7.0,721.0,高价值用户,高价值用户,0.999999999999978
34,1000000035,7,769,7.0,769.0,高价值用户,高价值用户,0.9999999999999964
35,1000000036,6,645,6.9767441860465125,750.0,高价值用户,高价值用户,0.998674275574235
36,1000000037,7,627,7.0,627.0,大众型用户,高价值用户,0.9999999999992346
37,1000000038,6,534,6.0,534.0,低价值用户,高价值用户,0.999999999957278
38,1000000039,7,750,6.7961165048543695,728.1553398058252,潜力型用户,高价值用户,1.0
39,1000000040,7,656,7.0,656.0,大众型用户,高价值用户,0.9999999999997442
40,1000000041,6,683,7.317073170731707,832.9268292682927,高价值用户,大众型用户,0.07652383365966821
41,1000000042,7,612,7.0,612.0,大众型用户,高价值用户,0.9999999999986504
42,1000000043,7,640,7.0,640.0,大众型用户,高价值用户,0.9999999999995317
43,1000000044,6,601,6.0,601.0,低价值用户,高价值用户,0.9999999999966054
44,1000000045,7,711,7.0,711.0,大众型用户,高价值用户,0.999999999999968
45,1000000046,6,711,6.0,711.0,低价值用户,高价值用户,0.9999999999999469
46,1000000047,7,654,6.930693069306932,647.5247524752475,大众型用户,高价值用户,0.9999999999999212
47,1000000048,6,678,5.9405940594059405,671.2871287128712,低价值用户,高价值用户,0.9999999999999498
48,1000000049,7,589,6.930693069306932,583.1683168316831,大众型用户,高价值用户,0.9999999999989571
49,1000000050,7,568,6.930693069306932,562.3762376237623,大众型用户,高价值用户,0.999999999997597
50,1000000051,6,597,7.0588235294117645,702.3529411764706,大众型用户,高价值用户,0.9891196738527155
51,1000000052,7,766,6.930693069306932,758.4158415841583,高价值用户,高价值用户,0.9999999999999991
52,1000000053,7,694,6.930693069306932,687.1287128712871,大众型用户,高价值用户,0.999999999999984
53,1000000054,6,459,5.9405940594059405,454.4554455445544,低价值用户,高价值用户,0.9999999996963662
54,1000000055,7,788,6.930693069306932,780.1980198019803,高价值用户,高价值用户,0.9999999999999996
55,1000000056,7,714,6.930693069306932,706.9306930693069,大众型用户,高价值用户,0.9999999999999927
56,1000000057,7,711,6.930693069306932,703.960396039604,大众型用户,高价值用户,0.9999999999999918
57,1000000058,7,685,6.8627450980392135,671.5686274509802,大众型用户,高价值用户,0.9999999999999936
58,1000000059,8,740,7.84313725490196,725.4901960784314,高价值用户,高价值用户,0.9999999999999996
59,1000000060,7,730,6.8627450980392135,715.686274509804,高价值用户,高价值用户,0.9999999999999991
60,1000000061,7,683,6.8627450980392135,669.6078431372549,大众型用户,高价值用户,0.9999999999999931
61,1000000062,7,773,6.930693069306932,765.3465346534654,高价值用户,高价值用户,0.9999999999999993
62,1000000063,7,628,6.930693069306932,621.7821782178218,大众型用户,高价值用户,0.9999999999997788
63,1000000064,6,520,5.9405940594059405,514.8514851485148,低价值用户,高价值用户,0.9999999999731823
64,1000000065,7,734,6.930693069306932,726.7326732673268,高价值用户,高价值用户,0.9999999999999967
65,1000000066,6,699,5.9405940594059405,692.0792079207921,低价值用户,高价值用户,0.9999999999999782
66,1000000067,7,689,6.930693069306932,682.1782178217821,大众型用户,高价值用户,0.9999999999999805
67,1000000068,7,711,6.930693069306932,703.960396039604,大众型用户,高价值用户,0.9999999999999918
68,1000000069,6,548,5.9405940594059405,542.5742574257425,低价值用户,高价值用户,0.9999999999911904
69,1000000070,8,667,7.920792079207921,660.3960396039604,大众型用户,高价值用户,0.9999999999999716
70,1000000071,7,742,6.930693069306932,734.6534653465346,高价值用户,高价值用户,0.9999999999999976
71,1000000072,7,798,6.930693069306932,790.09900990099,高价值用户,高价值用户,0.9999999999999998
72,1000000073,4,404,3.96039603960396,400.0,低价值用户,高价值用户,0.9999999925841936
73,1000000074,7,636,6.930693069306932,629.7029702970298,大众型用户,高价值用户,0.999999999999839
74,1000000075,7,629,6.930693069306932,622.7722772277227,大众型用户,高价值用户,0.9999999999997873
75,1000000076,7,725,6.930693069306932,717.821782178218,高价值用户,高价值用户,0.9999999999999953
76,1000000077,7,720,6.930693069306932,712.8712871287129,大众型用户,高价值用户,0.9999999999999942
77,1000000078,5,592,4.950495049504951,586.1386138613861,低价值用户,高价值用户,0.9999999999974625
78,1000000079,6,597,5.9405940594059405,591.0891089108911,低价值用户,高价值用户,0.9999999999987437
79,1000000080,7,603,6.930693069306932,597.0297029702971,大众型用户,高价值用户,0.9999999999994023
