用户编号,缴费日期,缴费金额（元）,应缴金额,拖欠天数,缴费次数,用户类型,预测用户类型,高价值用户概率
1000100,2018-03-01,123.375,123.375,5.162475095078232,8,高价值用户,高价值用户,0.9999965993117236
1000101,2018-03-01,70.0,70.0,5.032183654669425,7,大众型用户,大众型用户,0.13385229189946943
1000102,2018-03-01,168.57142857142858,168.57142857142858,5.216307113216149,7,高价值用户,高价值用户,0.9999999692944717
1000103,2018-03-01,77.625,77.625,3.785251868406518,8,大众型用户,大众型用户,0.09433678370641103
1000104,2018-03-01,214.28571428571428,214.28571428571428,5.240418441720465,7,高价值用户,高价值用户,0.9999999995736886
1000105,2018-03-01,144.28571428571428,144.28571428571428,5.088412229735416,7,高价值用户,高价值用户,0.9999973770745241
1000106,2018-03-01,158.0,158.0,5.389566279472206,7,高价值用户,高价值用户,0.9999999998997815
1000107,2018-03-01,153.42857142857142,153.42857142857142,4.864979632839007,7,高价值用户,高价值用户,0.9993841293181887
1000108,2018-03-01,138.57142857142858,138.57142857142858,5.1557192902472995,7,高价值用户,高价值用户,0.9999996378613057
1000109,2018-03-01,96.625,96.625,5.530980567659925,8,高价值用户,大众型用户,0.16065138870536516
1000110,2018-03-01,106.85714285714286,106.85714285714286,4.9024385214843935,7,高价值用户,高价值用户,0.5985903353399555
1000111,2018-03-01,130.14285714285714,130.14285714285714,5.648128833127641,7,高价值用户,高价值用户,0.9999999533494972
1000112,2018-03-01,119.28571428571428,119.28571428571428,5.95751291429106,7,高价值用户,高价值用户,0.999473495436664
1000113,2018-03-01,107.0,107.0,5.132380797258328,7,高价值用户,高价值用户,0.6078360481413159
1000114,2018-03-01,100.0,100.0,5.085210447193305,7,大众型用户,大众型用户,0.09331425916410542
1000115,2018-03-01,98.0,98.0,4.018467283386638,8,高价值用户,大众型用户,0.22466060079133035
1000116,2018-03-01,111.42857142857143,111.42857142857143,6.086588572345165,7,高价值用户,高价值用户,0.9181708919355006
1000117,2018-03-01,91.57142857142857,91.57142857142857,4.7579722775449715,7,大众型用户,大众型用户,0.016204200360102398
1000118,2018-03-01,121.5,121.5,5.589572317275586,6,潜力型用户,高价值用户,0.9978271349390683
1000119,2018-03-01,128.42857142857142,128.42857142857142,6.5348875051015,7,高价值用户,高价值用户,0.999999645409871
1000120,2018-03-01,108.14285714285714,108.14285714285714,3.778504715027853,7,高价值用户,高价值用户,0.6938072641410096
1000121,2018-03-01,89.0,89.0,5.4439208419204,6,低价值用户,低价值用户,0.007165631111689463
1000122,2018-03-01,98.6,98.6,4.117869991396685,5,低价值用户,高价值用户,0.9604342180725236
1000123,2018-03-01,129.14285714285714,129.14285714285714,6.0467982422960125,7,高价值用户,高价值用户,0.9999998588854695
1000124,2018-03-01,93.0,93.0,5.029876663482524,7,大众型用户,大众型用户,0.019427707695366114
1000125,2018-03-01,111.0,111.0,5.952532114011,7,高价值用户,高价值用户,0.9035515297515125
1000126,2018-03-01,90.14285714285714,90.14285714285714,3.437551345531653,7,大众型用户,大众型用户,0.011130856162416668
1000127,2018-03-01,95.16666666666669,95.16666666666669,5.285144324235044,6,低价值用户,低价值用户,0.009240486630969873
1000128,2018-03-01,98.71428571428572,98.71428571428572,3.965016050029871,7,大众型用户,大众型用户,0.06279870981643125
1000129,2018-03-01,95.85714285714286,95.85714285714286,7.425597892259664,7,大众型用户,大众型用户,0.01032279798038645
1000130,2018-03-01,93.57142857142857,93.57142857142857,5.574506030772585,7,大众型用户,大众型用户,0.019078371208695016
1000131,2018-03-01,86.5,86.5,6.297061244364394,6,大众型用户,低价值用户,0.012613071256291172
1000132,2018-03-01,90.83333333333331,90.83333333333331,4.459336104797378,6,低价值用户,低价值用户,0.004116789057764857
1000133,2018-03-01,103.0,103.0,6.6597206528919815,7,大众型用户,大众型用户,0.13630853493379402
1000134,2018-03-01,109.85714285714286,109.85714285714286,4.540827456736829,7,高价值用户,高价值用户,0.8219722593992025
1000135,2018-03-01,107.5,107.5,5.4226213733606015,6,高价值用户,低价值用户,0.18837511901019674
1000136,2018-03-01,89.57142857142857,89.57142857142857,3.3390514106543328,7,大众型用户,大众型用户,0.010176313082824536
1000137,2018-03-01,89.0,89.0,4.847146961613238,6,低价值用户,低价值用户,0.004999332466539436
1000138,2018-03-01,107.14285714285714,107.14285714285714,4.362394987089223,7,潜力型用户,高价值用户,0.5405232972692989
1000139,2018-03-01,93.71428571428572,93.71428571428572,3.671801025128464,7,大众型用户,大众型用户,0.019475638024481927
1000140,2018-03-01,113.83333333333331,113.83333333333331,6.011036166174282,6,高价值用户,高价值用户,0.8644061645750962
1000141,2018-03-01,87.42857142857143,87.42857142857143,4.274955189637572,7,大众型用户,大众型用户,0.01127333935837408
1000142,2018-03-01,91.42857142857143,91.42857142857143,5.0540226143354765,7,大众型用户,大众型用户,0.015522870453917308
1000143,2018-03-01,100.16666666666669,100.16666666666669,2.2551416090675027,6,低价值用户,低价值用户,0.0065330380327999794
1000144,2018-03-01,101.57142857142857,101.57142857142857,3.4961162029165096,7,大众型用户,大众型用户,0.12749396783737027
1000145,2018-03-01,118.5,118.5,6.6082135600970044,6,低价值用户,高价值用户,0.9935204391361383
1000146,2018-03-01,93.42857142857143,93.42857142857143,6.329922811504064,7,大众型用户,大众型用户,0.013727024480831596
1000147,2018-03-01,113.0,113.0,3.679395353465413,6,低价值用户,高价值用户,0.49683682878127056
1000148,2018-03-01,84.14285714285714,84.14285714285714,2.634668761115552,7,大众型用户,大众型用户,0.006160953649530788
1000149,2018-03-01,81.14285714285714,81.14285714285714,5.856908292367143,7,大众型用户,大众型用户,0.010923336235588527
