,用户编号,总缴费次数,总缴费金额（元）,平均缴费次数(年),平均缴费金额（元）,用户类型,预测用户类型,高价值用户概率
0,1000000001,8,111,7.920792079207921,109.90099009900992,大众型用户,高价值用户,1.0
1,1000000002,7,440,6.930693069306932,435.6435643564357,大众型用户,大众型用户,0.3014689458470399
2,1000000003,7,1180,6.930693069306932,1168.3168316831684,高价值用户,高价值用户,1.0
3,1000000004,8,621,8.0,621.0,大众型用户,高价值用户,0.9922110555545779
4,1000000005,7,1500,6.930693069306932,1485.148514851485,高价值用户,高价值用户,1.0
5,1000000006,7,1010,6.930693069306932,1000.0,高价值用户,高价值用户,0.9999996577876454
6,1000000007,7,1106,6.930693069306932,1095.049504950495,高价值用户,高价值用户,0.9999999999998366
7,1000000008,7,1074,6.930693069306932,1063.3663366336634,高价值用户,高价值用户,0.9999999999622879
8,1000000009,7,970,6.930693069306932,960.3960396039604,高价值用户,高价值用户,0.9999690454609351
9,1000000010,8,773,7.920792079207921,765.3465346534654,高价值用户,高价值用户,0.9995057359143601
10,1000000011,7,748,7.0,748.0,高价值用户,高价值用户,0.5247350977771763
11,1000000012,7,911,7.0,911.0,高价值用户,高价值用户,0.9974355278445837
12,1000000013,7,835,7.0,835.0,高价值用户,高价值用户,0.9105489798060291
13,1000000014,7,749,7.0,749.0,高价值用户,高价值用户,0.5379506945596816
14,1000000015,7,700,7.0,700.0,大众型用户,大众型用户,0.08493587351396209
15,1000000016,8,784,8.0,784.0,高价值用户,高价值用户,0.9995944940949482
16,1000000017,7,780,7.0,780.0,高价值用户,高价值用户,0.7963290066457729
17,1000000018,7,641,7.0,641.0,大众型用户,大众型用户,0.01278210799354626
18,1000000019,6,729,6.0,729.0,潜力型用户,低价值用户,0.03232370677600001
19,1000000020,7,899,6.930693069306932,890.09900990099,高价值用户,高价值用户,0.990460820310344
20,1000000021,7,757,6.930693069306932,749.5049504950495,高价值用户,高价值用户,0.5700672665123944
21,1000000022,6,534,5.9405940594059405,528.7128712871287,低价值用户,低价值用户,5.486348733131658e-08
22,1000000023,5,493,4.950495049504951,488.1188118811882,低价值用户,高价值用户,0.9999999892645164
23,1000000024,7,904,6.930693069306932,895.049504950495,高价值用户,高价值用户,0.992984250619213
24,1000000025,7,651,6.930693069306932,644.5544554455447,大众型用户,大众型用户,0.014576647967848477
25,1000000026,7,777,6.930693069306932,769.3069306930693,高价值用户,高价值用户,0.730847502781534
26,1000000027,7,631,6.930693069306932,624.7524752475247,大众型用户,大众型用户,0.00970747900627869
